Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary44 - 50.Sal D'amato44 - 50.Junichiro Kamijo44 - 50.,Marvin Vettori,Marvin Vettori,Kevin Holland,24 of 64,37 of 103,37%,35%,152 of 250,138 of 214
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Sal D'amato28 - 29.Rick Winter28 - 29.,Arnold Allen,Arnold Allen,Sodiq Yusuff,21 of 61,47 of 113,34%,41%,26 of 68,79 of 164
Middleweight Bout,Submission,2,2:07,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,Julian Marquez,Sam Alvey,Julian Marquez,29 of 78,61 of 100,37%,61%,29 of 78,62 of 101
Women's Strawweight Bout,Submission,1,4:48,3 Rnd (5-5-5),Chris Tognoni,Armbar From Mount,Mackenzie Dern,Nina Nunes,Mackenzie Dern,4 of 7,12 of 22,57%,54%,5 of 8,31 of 44
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary27 - 30.Junichiro Kamijo27 - 30.Tony Weeks26 - 30.,Daniel Rodriguez,Mike Perry,Daniel Rodriguez,61 of 132,129 of 235,46%,54%,65 of 137,145 of 252
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Junichiro Kamijo28 - 29.Adalaide Byrd27 - 30.,Joe Solecki,Jim Miller,Joe Solecki,11 of 34,19 of 42,32%,45%,45 of 76,93 of 146
Lightweight Bout,KO/TKO,2,1:22,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground,Mateusz Gamrot,Scott Holtzman,Mateusz Gamrot,10 of 48,39 of 63,20%,61%,10 of 48,41 of 65
Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato28 - 29.Derek Cleary29 - 28.Dave Hagen27 - 30.,John Makdessi,John Makdessi,Ignacio Bahamondes,124 of 232,112 of 312,53%,35%,145 of 257,117 of 318
Heavyweight Bout,KO/TKO,1,3:02,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance,Jarjis Danho,Yorgan De Castro,Jarjis Danho,2 of 11,10 of 12,18%,83%,5 of 15,10 of 12
Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato27 - 30.Dave Hagen29 - 28.Mike Bell27 - 30.,Jack Shore,Hunter Azure,Jack Shore,45 of 80,36 of 57,56%,63%,78 of 121,57 of 84
