Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.Mark Collett29 - 28.David Lethaby28 - 29.,Mauricio Rua,Mauricio Rua,Rogerio Nogueira,54 of 103,46 of 100,52%,46%,78 of 129,75 of 129
Heavyweight Bout,Submission,1,2:30,3 Rnd (5-5-5),,Armbar On Ground,Fabricio Werdum,Fabricio Werdum,Alexander Gustafsson,4 of 5,11 of 19,80%,57%,4 of 5,14 of 22
Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge28 - 29.Anders Ohlsson29 - 28.Clemens Werner27 - 30.,Carla Esparza,Carla Esparza,Marina Rodriguez,33 of 60,40 of 76,55%,52%,118 of 152,91 of 129
Light Heavyweight Bout,Submission,1,2:06,3 Rnd (5-5-5),Marc Goddard,Triangle Choke From Bottom Guard,Paul Craig,Paul Craig,Gadzhimurad Antigulov,2 of 5,11 of 16,40%,68%,4 of 7,16 of 22
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge27 - 30.Anders Ohlsson27 - 30.Vito Paolillo27 - 30.,Alex Oliveira,Alex Oliveira,Peter Sobotta,45 of 93,29 of 67,48%,43%,48 of 96,30 of 68
Welterweight Bout,KO/TKO,1,3:09,3 Rnd (5-5-5),Rich Mitchell,Punches to Head From Mount,Khamzat Chimaev,Khamzat Chimaev,Rhys McKee,40 of 62,0 of 0,64%,---,68 of 98,0 of 0
Lightweight Bout,KO/TKO,3,1:30,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Francisco Trinaldo,Francisco Trinaldo,Jai Herbert,30 of 58,21 of 70,51%,30%,37 of 66,37 of 90
Welterweight Bout,Overturned,1,2:48,3 Rnd (5-5-5),Marc Goddard,"Rear Naked Choke
      Failed Drug Test by Ronson",draw,Nicolas Dalby,Jesse Ronson,20 of 50,30 of 45,40%,66%,20 of 53,31 of 46
Heavyweight Bout,KO/TKO,1,0:45,3 Rnd (5-5-5),Daniel Movahedi,Punches to Head At Distance,Tom Aspinall,Tom Aspinall,Jake Collier,10 of 10,3 of 9,100%,33%,10 of 10,3 of 9
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki27 - 30.Vito Paolillo27 - 30.David Lethaby28 - 29.,Movsar Evloev,Movsar Evloev,Mike Grundy,79 of 150,20 of 66,52%,30%,96 of 173,25 of 80
Heavyweight Bout,KO/TKO,2,2:36,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Tanner Boser,Tanner Boser,Raphael Pessoa,43 of 60,12 of 36,71%,33%,43 of 60,13 of 37
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Lukasz Bosacki27 - 30.Clemens Werner27 - 30.David Lethaby28 - 29.,Pannie Kianzad,Bethe Correia,Pannie Kianzad,56 of 143,103 of 199,39%,51%,83 of 178,106 of 205
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge27 - 30.Anders Ohlsson27 - 30.Vito Paolillo28 - 29.,Ramazan Emeev,Ramazan Emeev,Niklas Stolze,29 of 67,30 of 72,43%,41%,67 of 114,41 of 85
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki27 - 30.Mark Collett27 - 30.David Lethaby27 - 30.,Nathaniel Wood,Nathaniel Wood,John Castaneda,131 of 232,55 of 130,56%,42%,136 of 240,66 of 141
UFC Flyweight Title Bout,Submission,1,4:48,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke,Deiveson Figueiredo,Deiveson Figueiredo,Joseph Benavidez,35 of 40,18 of 28,87%,64%,40 of 45,22 of 33
Middleweight Bout,Submission,1,1:18,3 Rnd (5-5-5),Herb Dean,Heel Hook From Bottom Guard,Jack Hermansson,Jack Hermansson,Kelvin Gastelum,2 of 4,0 of 3,50%,0%,2 of 4,1 of 5
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,David Lethaby27 - 30.Lukasz Bosacki28 - 29.Anders Ohlsson28 - 29.,Rafael Fiziev,Marc Diakiese,Rafael Fiziev,68 of 148,78 of 124,45%,62%,73 of 153,82 of 128
Women's Flyweight Bout,Submission,1,1:28,3 Rnd (5-5-5),Daniel Movahedi,Kneebar On Ground,Ariane Lipski,Ariane Lipski,Luana Carolina,3 of 4,2 of 4,75%,50%,11 of 12,2 of 4
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki28 - 29.David Lethaby28 - 29.Clemens Werner28 - 29.,Askar Askarov,Alexandre Pantoja,Askar Askarov,32 of 62,41 of 63,51%,65%,40 of 71,44 of 66
Light Heavyweight Bout,KO/TKO,1,4:15,3 Rnd (5-5-5),Herb Dean,Knee to Head At Distance,Roman Dolidze,Roman Dolidze,Khadis Ibragimov,19 of 22,4 of 14,86%,28%,19 of 22,10 of 20
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson26 - 30.Clemens Werner27 - 30.David Lethaby27 - 29.,Grant Dawson,Grant Dawson,Nad Narimani,53 of 115,31 of 76,46%,40%,136 of 218,57 of 105
Lightweight Bout,Submission,1,2:25,3 Rnd (5-5-5),Marc Goddard,Guillotine Choke From Guard,Joel Alvarez,Joe Duffy,Joel Alvarez,14 of 26,18 of 37,53%,48%,14 of 26,18 of 37
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge28 - 29.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,Brett Johns,Brett Johns,Montel Jackson,11 of 19,26 of 44,57%,59%,30 of 39,80 of 99
Bantamweight Bout,Submission,1,4:42,3 Rnd (5-5-5),Herb Dean,Triangle Choke From Bottom Guard,Amir Albazi,Malcolm Gordon,Amir Albazi,3 of 16,12 of 28,18%,42%,5 of 18,28 of 46
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby27 - 30.Clemens Werner27 - 30.Lukasz Bosacki28 - 29.,Arman Tsarukyan,Davi Ramos,Arman Tsarukyan,33 of 103,91 of 197,32%,46%,49 of 122,118 of 227
Heavyweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Anders Ohlsson28 - 28.Ben Cartlidge27 - 29.Vito Paolillo27 - 29.,Serghei Spivac,Carlos Felipe,Serghei Spivac,44 of 121,73 of 149,36%,48%,44 of 121,165 of 253
Featherweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge46 - 49.Mark Collett46 - 49.David Lethaby47 - 48.,Calvin Kattar,Calvin Kattar,Dan Ige,105 of 260,84 of 218,40%,38%,107 of 262,87 of 221
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.David Lethaby28 - 29.Clemens Werner28 - 29.,Tim Elliott,Tim Elliott,Ryan Benoit,67 of 169,55 of 122,39%,45%,90 of 193,64 of 131
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson27 - 30.Vito Paolillo27 - 30.Mark Collett28 - 29.,Jimmie Rivera,Jimmie Rivera,Cody Stamann,48 of 89,26 of 72,53%,36%,90 of 134,62 of 108
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,David Lethaby27 - 30.Anders Ohlsson27 - 30.Lukasz Bosacki26 - 30.,Taila Santos,Molly McCann,Taila Santos,48 of 106,57 of 143,45%,39%,67 of 125,75 of 164
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge27 - 30.Clemens Werner27 - 30.Vito Paolillo28 - 29.,Mounir Lazzez,Abdul Razak Alhassan,Mounir Lazzez,67 of 133,98 of 177,50%,55%,70 of 136,114 of 194
Middleweight Bout,Submission,2,1:12,3 Rnd (5-5-5),Herb Dean,D'Arce Choke On Ground,Khamzat Chimaev,John Phillips,Khamzat Chimaev,1 of 2,43 of 52,50%,82%,2 of 3,124 of 140
Featherweight Bout,KO/TKO,1,4:18,3 Rnd (5-5-5),Rich Mitchell,Punches to Head From Half Guard,Lerone Murphy,Ricardo Ramos,Lerone Murphy,10 of 29,22 of 40,34%,55%,10 of 29,24 of 42
Light Heavyweight Bout,KO/TKO,1,5:00,3 Rnd (5-5-5),Daniel Movahedi,"to    
      Referee Stoppage Between Rounds",Modestas Bukauskas,Modestas Bukauskas,Andreas Michailidis,18 of 49,23 of 46,36%,50%,18 of 49,23 of 46
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki26 - 30.Ben Cartlidge26 - 30.Anders Ohlsson26 - 30.,Jared Gordon,Jared Gordon,Chris Fishgold,44 of 69,20 of 58,63%,34%,241 of 282,27 of 65
Women's Flyweight Bout,Submission,1,2:43,3 Rnd (5-5-5),Rich Mitchell,Armbar From Bottom Guard,Liana Jojua,Diana Belbita,Liana Jojua,5 of 9,2 of 3,55%,66%,6 of 11,3 of 4
Bantamweight Bout,Submission,2,2:29,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Jack Shore,Jack Shore,Aaron Phillips,29 of 45,6 of 15,64%,40%,42 of 59,7 of 16
UFC Welterweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Ben Cartlidge45 - 50.Mark Collett45 - 50.David Lethaby46 - 49.,Kamaru Usman,Kamaru Usman,Jorge Masvidal,94 of 151,66 of 125,62%,52%,263 of 341,88 of 157
UFC Featherweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mark Collett47 - 48.David Lethaby48 - 47.Clemens Werner47 - 48.,Alexander Volkanovski,Alexander Volkanovski,Max Holloway,137 of 272,102 of 268,50%,38%,139 of 275,111 of 277
UFC Bantamweight Title Bout,KO/TKO,5,3:24,5 Rnd (5-5-5-5-5),Leon Roberts,Punches to Head On Ground,Petr Yan,Petr Yan,Jose Aldo,194 of 309,83 of 157,62%,52%,258 of 376,83 of 157
Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson28 - 29.Mark Collett29 - 28.Vito Paolillo28 - 29.,Rose Namajunas,Jessica Andrade,Rose Namajunas,71 of 205,82 of 235,34%,34%,79 of 213,82 of 235
Women's Flyweight Bout,Submission,1,2:21,3 Rnd (5-5-5),Rich Mitchell,Armbar From Back Control,Amanda Ribas,Amanda Ribas,Paige VanZant,6 of 7,3 of 5,85%,60%,13 of 15,4 of 6
Light Heavyweight Bout,KO/TKO,2,0:49,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,Jiri Prochazka,Volkan Oezdemir,Jiri Prochazka,41 of 92,33 of 73,44%,45%,44 of 95,33 of 73
Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Lukasz Bosacki27 - 30.David Lethaby29 - 28.Clemens Werner28 - 29.,Muslim Salikhov,Elizeu Zaleski dos Santos,Muslim Salikhov,46 of 138,40 of 88,33%,45%,46 of 138,40 of 88
Featherweight Bout,Submission,1,3:15,3 Rnd (5-5-5),Leon Roberts,Anaconda Choke On Ground,Makwan Amirkhani,Makwan Amirkhani,Danny Henry,2 of 6,6 of 16,33%,37%,2 of 6,6 of 16
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki26 - 29.Ben Cartlidge26 - 29.Clemens Werner26 - 29.,Leonardo Santos,Leonardo Santos,Roman Bogatov,66 of 119,50 of 117,55%,42%,116 of 181,81 of 155
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mark Collett27 - 30.David Lethaby26 - 30.Anders Ohlsson27 - 30.,Marcin Tybura,Marcin Tybura,Maxim Grishin,24 of 52,18 of 32,46%,56%,70 of 119,54 of 71
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,Lukasz Bosacki28 - 29.Ben Cartlidge28 - 29.Vito Paolillo28 - 29.,Raulian Paiva,Raulian Paiva,Zhalgas Zhumagulov,52 of 121,66 of 119,42%,55%,56 of 125,73 of 126
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby26 - 30.Anders Ohlsson27 - 29.Clemens Werner26 - 30.,Karol Rosa,Karol Rosa,Vanessa Melo,120 of 228,45 of 135,52%,33%,177 of 289,78 of 168
Bantamweight Bout,KO/TKO,3,2:38,3 Rnd (5-5-5),Rich Mitchell,Punch to Head At Distance,Davey Grant,Martin Day,Davey Grant,62 of 160,74 of 177,38%,41%,69 of 168,87 of 191
Lightweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato47 - 48.Derek Cleary47 - 48.Eric Colon46 - 48.,Dustin Poirier,Dustin Poirier,Dan Hooker,153 of 231,155 of 253,66%,61%,208 of 289,182 of 283
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell28 - 29.Sal D'amato28 - 29.Dave Hagen28 - 29.,Mike Perry,Mike Perry,Mickey Gall,76 of 131,55 of 106,58%,51%,103 of 158,59 of 111
Heavyweight Bout,Submission,3,3:44,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Bottom Half Guard,Maurice Greene,Gian Villante,Maurice Greene,72 of 105,63 of 137,68%,45%,91 of 126,64 of 139
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato28 - 29.Mike Bell27 - 29.Dave Hagen27 - 30.,Brendan Allen,Brendan Allen,Kyle Daukaus,41 of 66,34 of 58,62%,58%,79 of 109,92 of 127
Welterweight Bout,KO/TKO,1,0:48,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Takashi Sato,Takashi Sato,Jason Witt,18 of 21,2 of 5,85%,40%,18 of 21,2 of 5
Catch Weight Bout,Submission,3,2:44,3 Rnd (5-5-5),Keith Peterson,D'Arce Choke On Ground,Julian Erosa,Sean Woodson,Julian Erosa,106 of 219,103 of 206,48%,50%,116 of 230,107 of 210
Lightweight Bout,Submission,3,2:53,3 Rnd (5-5-5),Mark Smith,Guillotine Choke In Clinch,Khama Worthy,Luis Pena,Khama Worthy,38 of 77,55 of 101,49%,54%,40 of 79,66 of 114
Heavyweight Bout,KO/TKO,1,2:41,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Tanner Boser,Philipe Lins,Tanner Boser,6 of 17,15 of 22,35%,68%,6 of 17,15 of 22
Women's Strawweight Bout,Submission,3,2:26,3 Rnd (5-5-5),Keith Peterson,Armbar On Ground,Kay Hansen,Kay Hansen,Jinh Yu Frey,31 of 55,26 of 46,56%,56%,43 of 67,27 of 48
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd28 - 29.Mike Bell28 - 29.Dave Hagen28 - 29.,Youssef Zalal,Jordan Griffin,Youssef Zalal,28 of 69,59 of 112,40%,52%,33 of 74,70 of 123
Heavyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),,Eric Colon46 - 49.Sal D'amato47 - 48.Chris Lee46 - 48.,Curtis Blaydes,Curtis Blaydes,Alexander Volkov,69 of 99,31 of 77,69%,40%,116 of 163,127 of 177
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell27 - 29.Derek Cleary28 - 29.Ron McCarthy28 - 29.,Josh Emmett,Josh Emmett,Shane Burgos,127 of 266,128 of 250,47%,51%,136 of 275,148 of 270
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Eric Colon27 - 30.Sal D'amato28 - 29.,Raquel Pennington,Raquel Pennington,Marion Reneau,107 of 154,46 of 117,69%,39%,118 of 165,81 of 154
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary28 - 29.Chris Lee28 - 29.Ron McCarthy28 - 29.,Belal Muhammad,Belal Muhammad,Lyman Good,82 of 172,81 of 172,47%,47%,86 of 176,84 of 175
Catch Weight Bout,Submission,1,2:25,3 Rnd (5-5-5),Herb Dean,Armbar From Bottom Guard,Jim Miller,Jim Miller,Roosevelt Roberts,2 of 3,1 of 2,66%,50%,9 of 10,7 of 8
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary28 - 29.Ron McCarthy28 - 29.Chris Lee27 - 30.,Bobby Green,Clay Guida,Bobby Green,23 of 65,85 of 150,35%,56%,27 of 69,90 of 158
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell27 - 30.Sal D'amato27 - 30.Rick Winter27 - 30.,Tecia Torres,Tecia Torres,Brianna Van Buren,74 of 160,34 of 68,46%,50%,111 of 199,37 of 71
Middleweight Bout,Overturned,2,4:50,3 Rnd (5-5-5),Chris Tognoni,Failed Drug Test by Barriault,draw,Marc-Andre Barriault,Oskar Piechota,74 of 137,37 of 84,54%,44%,74 of 137,38 of 85
Women's Flyweight Bout,Submission,3,4:36,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Gillian Robertson,Cortney Casey,Gillian Robertson,22 of 55,21 of 50,40%,42%,113 of 153,41 of 72
Lightweight Bout,KO/TKO,1,0:41,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Justin Jaynes,Frank Camacho,Justin Jaynes,4 of 15,16 of 30,26%,53%,4 of 15,16 of 30
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary27 - 30.Rick Winter27 - 30.Chris Lee28 - 29.,Lauren Murphy,Roxanne Modafferi,Lauren Murphy,44 of 174,72 of 158,25%,45%,71 of 206,92 of 178
Lightweight Bout,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Mark Smith,,Austin Hubbard,Austin Hubbard,Max Rohskopf,58 of 101,17 of 54,57%,31%,59 of 102,17 of 55
Women's Flyweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato46 - 49.Derek Cleary46 - 49.Eric Colon47 - 48.,Cynthia Calvillo,Jessica Eye,Cynthia Calvillo,70 of 280,113 of 237,25%,47%,70 of 283,150 of 294
Middleweight Bout,Submission,1,4:17,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Marvin Vettori,Karl Roberson,Marvin Vettori,4 of 16,45 of 64,25%,70%,4 of 16,60 of 79
Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon28 - 29.Sal D'amato28 - 29.Dave Hagen29 - 28.,Charles Rosa,Charles Rosa,Kevin Aguilar,69 of 173,53 of 135,39%,39%,69 of 173,53 of 135
Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon28 - 29.Derek Cleary28 - 29.Ron McCarthy29 - 28.,Andre Fili,Andre Fili,Charles Jourdain,44 of 171,62 of 138,25%,44%,52 of 183,65 of 142
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell27 - 30.Tony Weeks27 - 30.Sal D'amato26 - 30.,Jordan Espinosa,Jordan Espinosa,Mark De La Rosa,126 of 185,37 of 118,68%,31%,188 of 254,43 of 127
Women's Flyweight Bout,Submission,1,2:42,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Mariya Agapova,Mariya Agapova,Hannah Cifers,29 of 52,11 of 32,55%,34%,36 of 59,14 of 36
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato26 - 30.Adalaide Byrd26 - 30.Mike Bell25 - 30.,Merab Dvalishvili,Merab Dvalishvili,Gustavo Lopez,73 of 128,14 of 57,57%,24%,110 of 187,49 of 103
Women's Bantamweight Bout,KO/TKO,1,0:22,3 Rnd (5-5-5),Chris Tognoni,Punches to Head In Clinch,Julia Avila,Julia Avila,Gina Mazany,11 of 20,2 of 4,55%,50%,11 of 22,2 of 4
Bantamweight Bout,KO/TKO,1,0:32,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Tyson Nam,Tyson Nam,Zarrukh Adashev,2 of 3,2 of 6,66%,33%,2 of 3,2 of 6
Welterweight Bout,KO/TKO,1,0:59,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,Christian Aguilera,Anthony Ivy,Christian Aguilera,4 of 11,10 of 23,36%,43%,4 of 11,10 of 23
UFC Women's Featherweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary44 - 50.Chris Lee44 - 50.Sal D'amato45 - 50.,Amanda Nunes,Amanda Nunes,Felicia Spencer,124 of 214,42 of 130,57%,32%,132 of 222,70 of 161
Bantamweight Bout,KO/TKO,2,4:59,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,Cody Garbrandt,Raphael Assuncao,Cody Garbrandt,17 of 52,19 of 43,32%,44%,17 of 52,20 of 45
Bantamweight Bout,Submission,1,1:28,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Aljamain Sterling,Aljamain Sterling,Cory Sandhagen,2 of 3,1 of 2,66%,50%,10 of 12,1 of 2
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Rick Winter27 - 30.Dave Hagen27 - 30.Eric Colon28 - 29.,Neil Magny,Neil Magny,Anthony Rocco Martin,64 of 110,37 of 82,58%,45%,82 of 130,46 of 91
Bantamweight Bout,KO/TKO,1,1:54,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Sean O'Malley,Eddie Wineland,Sean O'Malley,4 of 7,13 of 20,57%,65%,4 of 7,13 of 20
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary27 - 30.Mike Bell27 - 30.Rick Winter27 - 30.,Alex Caceres,Alex Caceres,Chase Hooper,103 of 164,53 of 187,62%,28%,109 of 170,60 of 197
Middleweight Bout,KO/TKO,1,1:14,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Ian Heinisch,Ian Heinisch,Gerald Meerschaert,20 of 25,3 of 10,80%,30%,22 of 27,3 of 10
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon27 - 30.Dave Hagen27 - 30.Tony Weeks27 - 30.,Cody Stamann,Cody Stamann,Brian Kelleher,89 of 179,57 of 177,49%,32%,113 of 205,64 of 185
Middleweight Bout,KO/TKO,2,1:10,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,Maki Pitolo,Charles Byrd,Maki Pitolo,11 of 25,29 of 59,44%,49%,16 of 31,33 of 65
Flyweight Bout,KO/TKO,1,4:06,3 Rnd (5-5-5),Keith Peterson,Kick to Leg At Distance,Alex Perez,Jussier Formiga,Alex Perez,18 of 41,29 of 61,43%,47%,18 of 41,29 of 61
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Dave Hagen27 - 30.Mike Bell28 - 29.Junichiro Kamijo28 - 29.,Devin Clark,Alonzo Menifield,Devin Clark,39 of 85,79 of 124,45%,63%,54 of 103,150 of 198
Catch Weight Bout,Submission,1,1:20,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Herbert Burns,Evan Dunham,Herbert Burns,3 of 6,5 of 10,50%,50%,4 of 7,8 of 13
Welterweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Eric Colon45 - 50.Derek Cleary44 - 50.Sal D'amato44 - 50.,Gilbert Burns,Tyron Woodley,Gilbert Burns,28 of 64,83 of 138,43%,60%,65 of 101,156 of 211
Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason McCoy,Mike Bell30 - 27.Junichiro Kamijo28 - 29.Ron McCarthy28 - 29.,Augusto Sakai,Blagoy Ivanov,Augusto Sakai,66 of 125,78 of 161,52%,48%,71 of 130,89 of 174
Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato28 - 29.Eric Colon28 - 29.Dave Hagen28 - 29.,Billy Quarantillo,Billy Quarantillo,Spike Carlyle,49 of 66,37 of 66,74%,56%,110 of 135,64 of 102
Lightweight Bout,Submission,2,3:26,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Roosevelt Roberts,Roosevelt Roberts,Brok Weaver,40 of 61,14 of 48,65%,29%,54 of 76,26 of 62
Women's Strawweight Bout,Submission,1,2:36,3 Rnd (5-5-5),Jason Herzog,Kneebar From Bottom Guard,Mackenzie Dern,Mackenzie Dern,Hannah Cifers,5 of 21,7 of 26,23%,26%,5 of 21,11 of 31
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary25 - 30.Eric Colon25 - 30.Dave Hagen25 - 30.,Katlyn Chookagian,Katlyn Chookagian,Antonina Shevchenko,73 of 108,25 of 64,67%,39%,200 of 240,37 of 76
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd27 - 30.Sal D'amato27 - 30.Ron McCarthy27 - 30.,Daniel Rodriguez,Daniel Rodriguez,Gabe Green,175 of 344,127 of 273,50%,46%,175 of 345,127 of 273
Light Heavyweight Bout,Overturned,1,1:51,3 Rnd (5-5-5),Herb Dean,Failed Drug Test by Hill,draw,Jamahal Hill,Klidson Abreu,14 of 24,5 of 7,58%,71%,14 of 24,5 of 7
Flyweight Bout,Submission,2,3:18,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Side Control,Brandon Royval,Tim Elliott,Brandon Royval,17 of 32,16 of 33,53%,48%,40 of 55,22 of 41
Bantamweight Bout,Submission,1,3:03,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke On Ground,Casey Kenney,Louis Smolka,Casey Kenney,18 of 43,32 of 52,41%,61%,18 of 43,32 of 52
Featherweight Bout,KO/TKO,2,4:27,3 Rnd (5-5-5),Jason Herzog,Kick to Leg At Distance,Chris Gutierrez,Chris Gutierrez,Vince Morales,60 of 94,8 of 27,63%,29%,60 of 94,8 of 27
Heavyweight Bout,KO/TKO,2,3:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punches to Head From Back Control,Alistair Overeem,Alistair Overeem,Walt Harris,68 of 85,25 of 48,80%,52%,97 of 115,25 of 48
Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Chris Lee28 - 29.Dave Tirelli28 - 29.Sal D'amato29 - 28.,Claudia Gadelha,Claudia Gadelha,Angela Hill,84 of 210,90 of 176,40%,51%,92 of 218,93 of 179
